POS,NEG,HAS_NO,HAS_EXCLAMATION,WORDS,PRONOUNS,LABEL
1,1,2,0,0,2.4849066497880004,1,positive
3,6,2,0,0,3.1354942159291497,3,negative
4,3,3,0,0,2.3978952727983707,2,negative
5,6,4,0,0,3.332204510175204,2,negative
6,6,3,0,0,2.9444389791664403,2,positive
8,0,0,0,1,2.4849066497880004,2,positive
9,3,2,0,0,2.8903717578961645,3,positive
11,3,0,0,0,2.70805020110221,1,positive
12,10,3,0,1,3.4657359027997265,4,positive
13,4,1,0,1,3.1354942159291497,3,positive
14,0,0,0,1,1.0986122886681098,0,positive
15,1,0,0,0,2.1972245773362196,0,negative
16,6,1,0,0,3.2188758248682006,3,positive
17,6,2,0,1,3.4339872044851463,3,negative
18,0,0,0,0,2.1972245773362196,1,positive
19,5,2,0,1,3.332204510175204,4,positive
20,6,1,0,0,3.2188758248682006,1,negative
21,2,0,0,0,1.9459101490553132,1,positive
22,5,1,0,0,2.6390573296152584,2,positive
24,4,1,0,0,3.295836866004329,7,negative
25,3,0,1,0,3.1354942159291497,2,negative
26,6,5,0,1,3.4965075614664802,4,negative
28,3,1,0,0,3.258096538021482,2,negative
30,7,4,1,1,3.4965075614664802,6,negative
32,7,2,1,1,3.1780538303479458,0,negative
33,5,2,0,0,2.9444389791664403,2,negative
34,3,1,0,1,2.995732273553991,1,positive
36,1,3,0,1,3.044522437723423,0,positive
37,2,0,0,1,2.5649493574615367,0,positive
39,4,1,0,0,2.4849066497880004,2,negative
40,0,1,0,1,2.995732273553991,0,positive
41,6,2,0,1,3.367295829986474,3,negative
45,3,1,0,1,2.6390573296152584,2,positive
47,3,0,0,0,1.9459101490553132,2,positive
51,4,0,1,1,2.833213344056216,0,positive
55,5,5,0,1,3.4965075614664802,3,negative
56,2,0,0,0,2.5649493574615367,4,positive
57,1,0,0,1,2.772588722239781,2,positive
61,5,1,0,1,3.332204510175204,3,negative
64,4,0,0,1,2.772588722239781,1,positive
66,4,2,0,0,2.995732273553991,2,negative
67,2,0,0,1,3.4011973816621555,2,negative
68,3,1,0,0,2.833213344056216,0,positive
69,3,0,0,0,2.1972245773362196,3,negative
73,3,4,0,0,3.2188758248682006,3,negative
74,7,4,0,0,3.2188758248682006,2,positive
75,4,0,0,0,2.8903717578961645,5,positive
78,1,3,0,0,3.091042453358316,2,negative
80,3,1,0,0,2.995732273553991,1,negative
81,3,1,0,0,3.332204510175204,1,positive
82,2,2,0,1,3.1354942159291497,3,negative
83,4,1,1,0,3.044522437723423,7,negative
84,6,3,0,0,2.9444389791664403,3,negative
85,3,0,0,0,2.9444389791664403,3,negative
89,5,0,0,0,2.70805020110221,1,negative
92,4,3,0,0,3.2188758248682006,1,negative
93,6,2,1,0,3.332204510175204,2,negative
